Test #,Question,RAG BLEU-1,RAG BLEU-2,RAG BLEU-4,RAG ROUGE-1,RAG ROUGE-2,RAG ROUGE-L,RAG Reference Length (tokens),RAG Prediction Length (tokens),RAG Reference Length (chars),RAG Prediction Length (chars),RAG Contextual Relevance,RAG Semantic Similarity,RAG Distinct-1,RAG Distinct-2,RAG Response Time (s),Vanilla BLEU-1,Vanilla BLEU-2,Vanilla BLEU-4,Vanilla ROUGE-1,Vanilla ROUGE-2,Vanilla ROUGE-L,Vanilla Reference Length (tokens),Vanilla Prediction Length (tokens),Vanilla Reference Length (chars),Vanilla Prediction Length (chars),Vanilla Contextual Relevance,Vanilla Semantic Similarity,Vanilla Distinct-1,Vanilla Distinct-2,Vanilla Response Time (s),Hybrid BLEU-1,Hybrid BLEU-2,Hybrid BLEU-4,Hybrid ROUGE-1,Hybrid ROUGE-2,Hybrid ROUGE-L,Hybrid Reference Length (tokens),Hybrid Prediction Length (tokens),Hybrid Reference Length (chars),Hybrid Prediction Length (chars),Hybrid Contextual Relevance,Hybrid Semantic Similarity,Hybrid Distinct-1,Hybrid Distinct-2,Hybrid Response Time (s),RetrievalOnly BLEU-1,RetrievalOnly BLEU-2,RetrievalOnly BLEU-4,RetrievalOnly ROUGE-1,RetrievalOnly ROUGE-2,RetrievalOnly ROUGE-L,RetrievalOnly Reference Length (tokens),RetrievalOnly Prediction Length (tokens),RetrievalOnly Reference Length (chars),RetrievalOnly Prediction Length (chars),RetrievalOnly Contextual Relevance,RetrievalOnly Semantic Similarity,RetrievalOnly Distinct-1,RetrievalOnly Distinct-2,RetrievalOnly Response Time (s)
11,How do I set healthy boundaries with my family?,0.015576323987538944,0.012084206113070789,0.0073250755824673525,0.0352112676056338,0.021276595744680854,0.0352112676056338,9,274,47,1725,0.8689171075820923,0.8689171075820923,0.6605839416055983,0.9343065693427247,11.65824031829834,0.01412429378531074,0.008945631749380716,0.0,0.03773584905660377,0.012658227848101267,0.03773584905660377,9,301,47,2003,0.7889934778213501,0.7889934778213501,0.6677740863785158,0.950166112956495,11.56100583076477,0.014367816091954023,0.009100089017506157,0.0,0.044585987261146494,0.012820512820512818,0.038216560509554146,9,297,47,1982,0.8154899477958679,0.8154899477958679,0.6397306397304243,0.9225589225586119,12.546237707138062,0.02702702702702703,0.0,0.0,0.05681818181818182,0.0,0.034090909090909095,9,161,47,886,0.6118022799491882,0.6118022799491882,0.7142857142852707,0.9689440993782802,0.012383699417114258
12,Why do I feel insecure in my relationship?,0.019108280254777066,0.011067473785474298,0.0,0.039735099337748346,0.013422818791946308,0.039735099337748346,8,142,42,966,0.7105383276939392,0.7105383276939392,0.7887323943656418,0.9788732394359304,7.321000814437866,0.011811023622047247,0.0,0.0,0.02510460251046025,0.0,0.01673640167364017,8,227,42,1469,0.7499368190765381,0.7499368190765381,0.6784140969160007,0.9779735682815075,8.79215121269226,0.02702702702702703,0.019175887291829275,0.0,0.055944055944055944,0.028368794326241138,0.055944055944055944,8,132,42,858,0.7329361438751221,0.7329361438751221,0.7121212121206727,0.9696969696962352,6.69736385345459,0.040268456375838924,0.0,0.0,0.08450704225352113,0.0,0.04225352112676056,8,133,42,756,0.7458299398422241,0.7458299398422241,0.751879699247555,0.9849624060142971,0.007944583892822266
13,How can I rebuild trust after being betrayed?,0.02033898305084746,0.016634928849702354,0.01180281686239314,0.05204460966542751,0.029962546816479405,0.03717472118959107,8,255,45,1666,0.7688199281692505,0.7688199281692505,0.7215686274506975,0.9725490196074618,11.584386825561523,0.017543859649122806,0.013613319252933246,0.008255257562269804,0.03952569169960474,0.02390438247011952,0.0316205533596838,8,245,45,1637,0.8180516958236694,0.8180516958236694,0.6857142857140058,0.9591836734689962,9.796324729919434,0.02727272727272727,0.015817980499711115,0.0,0.05555555555555555,0.018867924528301886,0.037037037037037035,8,98,45,658,0.6586230397224426,0.6586230397224426,0.7959183673461266,0.9693877551010516,5.747527360916138,0.015503875968992251,0.0,0.0,0.03305785123966942,0.0,0.03305785123966942,8,224,45,1333,0.6608983874320984,0.6608983874320984,0.6517857142854233,0.9330357142852979,0.010548591613769531
14,What if I feel disconnected from my partner?,0.01173708920187793,0.007431915025753038,0.0,0.026041666666666664,0.010471204188481674,0.026041666666666664,8,369,44,2458,0.6637003421783447,0.6637003421783447,0.6449864498643239,0.9322493224929723,15.7244873046875,0.021008403361344543,0.013314882812670329,0.0,0.04464285714285714,0.018018018018018018,0.03571428571428571,8,212,44,1352,0.7389438152313232,0.7389438152313232,0.6981132075468406,0.9669811320750157,8.501054048538208,0.020920502092050205,0.009375567678510383,0.0,0.04524886877828054,0.0091324200913242,0.03619909502262443,8,209,44,1324,0.7545337080955505,0.7545337080955505,0.7177033492819533,0.9569377990426043,10.027856588363647,0.010324483775811213,0.0039051690502960633,0.0,0.02364864864864865,0.003389830508474576,0.013513513513513513,8,570,44,3420,0.6392208933830261,0.6392208933830261,0.5175438596490319,0.9175438596489618,0.008956193923950195
15,How do I handle toxic friendships?,0.006369426751592359,0.004511053783221759,0.0,0.02173913043478261,0.0072992700729927,0.02173913043478261,6,265,34,1782,0.8115206956863403,0.8115206956863403,0.7132075471695423,0.9773584905656689,11.57607913017273,0.0063091482649842295,0.004468294872365274,0.0,0.013468013468013467,0.006779661016949152,0.013468013468013467,6,279,34,1797,0.825873851776123,0.825873851776123,0.6415770609316697,0.9498207885301255,10.95954942703247,0.006600660066006603,0.004675092542911859,0.0,0.014388489208633096,0.007246376811594202,0.014388489208633096,6,264,34,1763,0.8488971590995789,0.8488971590995789,0.708333333333065,0.9696969696966025,12.273053407669067,0.012500000000000006,0.0,0.0,0.04137931034482759,0.0,0.02758620689655172,6,136,34,777,0.42023998498916626,0.42023998498916626,0.7132352941171227,0.9632352941169389,0.010450124740600586
16,How can I improve communication with my parents?,0.012254901960784319,0.005487287510963073,0.0,0.033898305084745756,0.005681818181818182,0.022598870056497175,8,343,48,2201,0.7804611325263977,0.7804611325263977,0.6501457725945626,0.938775510203808,15.081313133239746,0.017301038062283735,0.0077506805396283796,0.0,0.034934497816593885,0.008810572687224669,0.034934497816593885,8,215,48,1483,0.8207667469978333,0.8207667469978333,0.7348837209298908,0.9767441860460574,9.581256866455078,0.020242914979757082,0.009071288347056079,0.0,0.04484304932735426,0.009049773755656108,0.026905829596412554,8,212,48,1359,0.7839818596839905,0.7839818596839905,0.7075471698109871,0.9622641509429424,9.913580656051636,0.0061728395061728366,0.0,0.0,0.013574660633484162,0.0,0.013574660633484162,8,428,48,2334,0.460152268409729,0.460152268409729,0.5584112149531406,0.9742990654203332,0.010589122772216797
17,I’m scared of abandonment. How do I cope?,0.008108108108108107,0.006629206997054782,0.0,0.011834319526627219,0.005952380952380952,0.011834319526627219,8,321,41,2132,0.7834423184394836,0.7834423184394836,0.666666666666459,0.9501557632395794,14.372905492782593,0.010948905109489052,0.00895610177721735,0.0,0.047244094488188976,0.015873015873015872,0.03937007874015748,8,238,41,1495,0.7688143253326416,0.7688143253326416,0.6932773109240785,0.9747899159659771,9.388070583343506,0.008108108108108107,0.006629206997054782,0.0,0.012121212121212121,0.006097560975609757,0.012121212121212121,8,316,41,1972,0.7813966274261475,0.7813966274261475,0.6740506329111792,0.9651898734174161,13.051619291305542,0.016556291390728478,0.0,0.0,0.04713804713804714,0.02033898305084746,0.03367003367003367,8,267,41,1465,0.5644052624702454,0.5644052624702454,0.6516853932581829,0.9363295880146306,0.013007640838623047
18,How do I manage jealousy in a relationship?,0.01404494382022472,0.012579860417159167,0.007094159003580534,0.03067484662576687,0.024691358024691357,0.024539877300613498,8,312,43,1967,0.8334181308746338,0.8334181308746338,0.6698717948715802,0.9775641025637892,12.735933303833008,0.01116071428571429,0.008654716790451017,0.005241555781301483,0.033816425120772944,0.014563106796116505,0.028985507246376812,8,396,43,2527,0.8025076985359192,0.8025076985359192,0.5909090909089417,0.9419191919189541,14.742489576339722,0.024154589371980676,0.0,0.0,0.06282722513089005,0.0,0.031413612565445025,8,180,43,1224,0.808059573173523,0.808059573173523,0.7388888888884785,0.9611111111105772,8.82252550125122,0.035928143712574856,0.0,0.0,0.0684931506849315,0.0,0.0410958904109589,8,130,43,785,0.5851088762283325,0.5851088762283325,0.8076923076916864,0.9461538461531185,0.01282191276550293
19,What are signs of an unhealthy friendship?,0.034782608695652174,0.030254451040802585,0.019501949206422647,0.08928571428571427,0.07272727272727274,0.08928571428571427,7,102,42,636,0.8228040337562561,0.8228040337562561,0.7450980392149558,0.9705882352931661,6.090265512466431,0.019543973941368076,0.015983641122951153,0.0,0.04240282685512367,0.028469750889679717,0.04240282685512367,7,265,42,1680,0.7359968423843384,0.7359968423843384,0.6075471698110915,0.890566037735513,10.960456371307373,0.023166023166023165,0.013400805010536195,0.0,0.05454545454545455,0.01834862385321101,0.045454545454545456,7,209,42,1477,0.7771289944648743,0.7771289944648743,0.7368421052628054,0.9569377990426043,11.151957035064697,0.016759776536312856,0.0,0.0,0.023809523809523808,0.0,0.023809523809523808,7,155,42,927,0.4912826120853424,0.4912826120853424,0.7354838709672675,0.9548387096768034,0.012777566909790039
20,How can I move on from a breakup?,0.015831134564643808,0.012943153923534026,0.00697260813249246,0.0343839541547278,0.023054755043227668,0.0343839541547278,8,333,33,2037,0.7274989485740662,0.7274989485740662,0.6006006006004203,0.9429429429426598,13.755581617355347,0.014462809917355367,0.005472084231171328,0.0,0.036281179138321996,0.004555808656036446,0.0272108843537415,8,422,33,2553,0.6634740829467773,0.6634740829467773,0.6042654028434588,0.9407582938386396,15.161243677139282,0.027906976744186043,0.022839127249879493,0.016225522784464774,0.058536585365853655,0.039408866995073885,0.04878048780487805,8,194,33,1170,0.7378008365631104,0.7378008365631104,0.6958762886594352,0.9742268041232093,8.963664531707764,0.02649006622516557,0.016248710521339874,0.0,0.04946996466431095,0.02135231316725979,0.04240282685512368,8,271,33,1470,0.7062358260154724,0.7062358260154724,0.6309963099628668,0.9372693726933812,0.012445449829101562
21,How do I deal with constant work pressure?,0.013377926421404679,0.011605046817005069,0.007439930990365025,0.030303030303030304,0.022900763358778622,0.030303030303030304,8,253,42,1601,0.7060583829879761,0.7060583829879761,0.6877470355728508,0.9367588932802622,12.278249740600586,0.016778523489932886,0.01062951975245816,0.0,0.04460966542750929,0.014981273408239702,0.02973977695167286,8,254,42,1562,0.6141722202301025,0.6141722202301025,0.6811023622044563,0.9409448818893934,10.307007074356079,0.012145748987854251,0.007026589739358714,0.0,0.026200873362445413,0.008810572687224669,0.017467248908296942,8,216,42,1325,0.4909003674983978,0.4909003674983978,0.7222222222218879,0.9768518518513997,9.782470226287842,0.008928571428571432,0.0,0.0,0.017513134851138354,0.0,0.014010507880910685,8,559,42,3046,0.44359445571899414,0.44359445571899414,0.5438282647584,0.9194991055454526,0.011447906494140625
22,I feel burnt out but can't quit. What can I do?,0.00857142857142857,0.0,0.0,0.025723472668810293,0.0,0.01929260450160772,11,294,47,1880,0.47761034965515137,0.47761034965515137,0.680272108843306,0.9659863945574946,13.82202696800232,0.019108280254777066,0.007813374348215892,0.0,0.04844290657439446,0.006968641114982578,0.04152249134948097,11,270,47,1810,0.5848826766014099,0.5848826766014099,0.7407407407404665,0.9703703703700111,10.918226718902588,0.023437500000000003,0.013558153613666005,0.0,0.05084745762711864,0.017094017094017092,0.0423728813559322,11,223,47,1384,0.5744777917861938,0.5744777917861938,0.6771300448427457,0.9551569506722175,10.199576616287231,0.009459459459459463,0.00357775783072923,0.0,0.020114942528735632,0.002881844380403458,0.014367816091954023,11,644,47,3777,0.4318047761917114,0.4318047761917114,0.5900621118011505,0.939440993788674,0.010835409164428711
23,How can I manage imposter syndrome at my job?,0.013043478260869566,0.009233173446930816,0.005342414449880711,0.02850356294536817,0.014319809069212411,0.023752969121140142,9,401,45,2728,0.8351909518241882,0.8351909518241882,0.6458852867828814,0.9650872817952706,16.728635787963867,0.01183431952662722,0.0,0.0,0.032679738562091505,0.0,0.026143790849673203,9,292,45,1938,0.7340625524520874,0.7340625524520874,0.6609589041093628,0.9452054794517312,11.89876413345337,0.03428571428571429,0.014037248126871921,0.0,0.07142857142857142,0.03614457831325301,0.05952380952380953,9,156,45,972,0.7974440455436707,0.7974440455436707,0.7179487179482578,0.9551282051275929,8.041585445404053,0.02597402597402598,0.018406293574195463,0.0,0.044843049327354265,0.027149321266968326,0.044843049327354265,9,203,45,1174,0.6570515632629395,0.6570515632629395,0.6650246305415444,0.9704433497532166,0.011588573455810547
24,How do I stay motivated when I feel stuck in my career?,0.03482587064676618,0.02639161633805939,0.0,0.07035175879396983,0.04060913705583757,0.07035175879396983,12,184,55,1107,0.883220374584198,0.883220374584198,0.6847826086952801,0.956521739129915,8.759809255599976,0.01724137931034483,0.007723907815277794,0.0,0.04545454545454545,0.0076335877862595426,0.030303030303030304,12,249,55,1635,0.7909286618232727,0.7909286618232727,0.7028112449796374,0.9598393574293335,10.084131479263306,0.014204545454545449,0.0,0.0,0.03809523809523809,0.0,0.031746031746031744,12,297,55,1837,0.6246068477630615,0.6246068477630615,0.6868686868684556,0.9629629629626387,14.037914037704468,0.025396825396825393,0.008993420347344494,0.0,0.06164383561643835,0.00689655172413793,0.0410958904109589,12,280,55,1507,0.5828491449356079,0.5828491449356079,0.5999999999997857,0.9428571428568062,0.013353586196899414
25,What should I do when my job causes anxiety?,0.008438818565400841,0.0,0.0,0.018604651162790697,0.0,0.018604651162790697,9,201,44,1322,0.7747107744216919,0.7747107744216919,0.7761194029846885,0.9850746268651817,10.582071781158447,0.007380073800738007,0.0,0.0,0.026431718061674013,0.0,0.026431718061674013,9,209,44,1384,0.731500506401062,0.731500506401062,0.7607655502388705,0.9665071770330305,9.312121391296387,0.009363295880149811,0.004191319511778128,0.0,0.02100840336134454,0.0042194092827004225,0.012605042016806721,9,459,44,3034,0.6517243981361389,0.6517243981361389,0.6274509803920202,0.923747276688252,18.62922167778015,0.010174418604651165,0.0038483665611166455,0.0,0.02243589743589744,0.003215434083601286,0.019230769230769232,9,588,44,3516,0.7238789796829224,0.7238789796829224,0.6037414965985367,0.9387755102039219,0.01307821273803711
26,How do I balance work and personal life?,0.019531249999999997,0.017503501050350114,0.013005040698314128,0.052173913043478265,0.03508771929824561,0.052173913043478265,8,216,40,1403,0.7284620404243469,0.7284620404243469,0.6990740740737504,0.9537037037032622,11.01255750656128,0.014440433212996392,0.012528416922183249,0.008034054684749948,0.03225806451612903,0.024390243902439025,0.03225806451612903,8,234,40,1554,0.6981965899467468,0.6981965899467468,0.735042735042421,0.9572649572645482,9.793089866638184,0.019305019305019308,0.017300364877193213,0.0128535227877785,0.04310344827586207,0.03478260869565217,0.04310344827586207,8,219,40,1389,0.721070408821106,0.721070408821106,0.6529680365293823,0.9086757990863431,10.355584621429443,0.01591511936339523,0.0,0.0,0.0339943342776204,0.0,0.0226628895184136,8,334,40,1675,0.5026366710662842,0.5026366710662842,0.5269461077842734,0.8772455089817733,0.009358406066894531
27,How can I stop procrastinating important tasks?,0.012500000000000006,0.007231960676754646,0.0,0.027522935779816512,0.009259259259259259,0.027522935779816512,7,209,47,1348,0.8451103568077087,0.8451103568077087,0.6889952153106752,0.9617224880378175,10.170027017593384,0.011940298507462692,0.0,0.0,0.02649006622516556,0.0,0.019867549668874173,7,293,47,1867,0.7649771571159363,0.7649771571159363,0.6552901023888549,0.931740614334153,11.819801330566406,0.022140221402214017,0.015684465563881995,0.009089093957676288,0.04819277108433735,0.024291497975708502,0.032128514056224904,7,238,47,1479,0.8124186992645264,0.8124186992645264,0.6764705882350099,0.9663865546214427,10.852959156036377,0.015325670498084289,0.0,0.0,0.024489795918367346,0.0,0.024489795918367346,7,229,47,1281,0.6219814419746399,0.6219814419746399,0.6244541484713431,0.9126637554581168,0.009952306747436523
28,How do I handle criticism at work without breaking down?,0.032863849765258225,0.030497687709407018,0.02545455551995829,0.0707070707070707,0.06122448979591837,0.0707070707070707,10,185,56,1138,0.8067330718040466,0.8067330718040466,0.7351351351347378,0.9729729729724471,9.265826940536499,0.017182130584192438,0.01333214830614944,0.00808416156242558,0.045112781954887216,0.022727272727272728,0.03759398496240601,10,252,56,1598,0.7789762020111084,0.7789762020111084,0.674603174602907,0.9682539682535841,9.904245138168335,0.00900900900900901,0.007366894773816716,0.0,0.025889967637540454,0.013029315960912053,0.025889967637540454,10,294,56,1830,0.8204309940338135,0.8204309940338135,0.6530612244895738,0.9591836734690615,12.609422445297241,0.0159235668789809,0.0071326023012501134,0.0,0.029197080291970805,0.007352941176470588,0.029197080291970805,10,258,56,1450,0.5220708847045898,0.5220708847045898,0.6046511627904634,0.941860465115914,0.009624958038330078
29,What are signs that I need a break from work?,0.04444444444444445,0.031514630616471036,0.01584584094466835,0.09523809523809523,0.04819277108433735,0.07142857142857144,10,153,45,1020,0.7791224122047424,0.7791224122047424,0.7777777777772695,0.9673202614372763,8.772783756256104,0.03200000000000001,0.02534897002097912,0.015839111387483996,0.06694560669456066,0.04219409282700422,0.06694560669456066,10,217,45,1327,0.6839768886566162,0.6839768886566162,0.64055299539141,0.9216589861746906,9.283807039260864,0.025078369905956112,0.019857341016158596,0.01239686219204843,0.05333333333333333,0.03355704697986577,0.04666666666666666,10,282,45,1717,0.7442449331283569,0.7442449331283569,0.6453900709217569,0.95390070921952,11.994771242141724,0.018099547511312226,0.0,0.0,0.04901960784313725,0.0,0.029411764705882353,10,189,45,1021,0.3905983865261078,0.3905983865261078,0.6984126984123289,0.9735449735444585,0.011908769607543945
